"","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_conditions","Attendance","H_time_Home_Goals","H_time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials","Winner","Winner_Goals"
"689",2006,"23 Jun 2006 - 16:00","Group H","Olympiastadion","Berlin","Ukraine",1,0,"Tunisia",NA,72000,0,0,"AMARILLA Carlos (PAR)","ANDINO Amelio (PAR)","BERNAL Manuel (PAR)",97410100,97410048,"UKR","TUN","UKR",1
"690",2006,"23 Jun 2006 - 16:00","Group H","Fritz-Walter-Stadion","Kaiserslautern","Saudi Arabia",0,1,"Spain",NA,46000,0,1,"CODJIA Coffi (BEN)","NTAGUNGIRA Celestin (RWA)","ADERODJOU Aboudou (BEN)",97410100,97410047,"KSA","ESP","ESP",1
"691",2006,"23 Jun 2006 - 21:00","Group G","FIFA World Cup Stadium, Cologne","Cologne","Togo",0,2,"France",NA,45000,0,0,"LARRIONDA Jorge (URU)","RIAL Walter (URU)","FANDINO Pablo (URU)",97410100,97410045,"TOG","FRA","FRA",2
"692",2006,"23 Jun 2006 - 21:00","Group G","FIFA World Cup Stadium, Hanover","Hanover","Switzerland",2,0,"Korea Republic",NA,43000,1,0,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410100,97410046,"SUI","KOR","SUI",2
"693",2006,"24 Jun 2006 - 17:00","Round of 16","FIFA World Cup Stadium, Munich","Munich","Germany",2,0,"Sweden",NA,66000,2,0,"SIMON Carlos (BRA)","TAVARES Aristeu (BRA)","CORONA Ednilson (BRA)",97410200,97410049,"GER","SWE","GER",2
"694",2006,"24 Jun 2006 - 21:00","Round of 16","Zentralstadion","Leipzig","Argentina",2,1,"Mexico","Argentina win after extra time",43000,0,0,"BUSACCA Massimo (SUI)","BURAGINA Francesco (SUI)","ARNET Matthias (SUI)",97410200,97410050,"ARG","MEX","ARG",2
"695",2006,"25 Jun 2006 - 17:00","Round of 16","Gottlieb-Daimler-Stadion","Stuttgart","England",1,0,"Ecuador",NA,52000,0,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410200,97410051,"ENG","ECU","ENG",1
"696",2006,"25 Jun 2006 - 21:00","Round of 16","Franken-Stadion","Nuremberg","Portugal",1,0,"Netherlands",NA,41000,1,0,"IVANOV Valentin (RUS)","GOLUBEV Nikolai (RUS)","VOLNIN Evgueni (RUS)",97410200,97410052,"POR","NED","POR",1
"697",2006,"26 Jun 2006 - 17:00","Round of 16","Fritz-Walter-Stadion","Kaiserslautern","Italy",1,0,"Australia",NA,46000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410200,97410053,"ITA","AUS","ITA",1
"698",2006,"26 Jun 2006 - 21:00","Round of 16","FIFA World Cup Stadium, Cologne","Cologne","Switzerland",0,3,"Ukraine","Ukraine win on penalties (0 - 3)",45000,0,0,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410200,97410054,"SUI","UKR","UKR",3
"699",2006,"27 Jun 2006 - 17:00","Round of 16","FIFA World Cup Stadium, Dortmund","Dortmund","Brazil",3,0,"Ghana",NA,65000,2,0,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410200,97410055,"BRA","GHA","BRA",3
"700",2006,"27 Jun 2006 - 21:00","Round of 16","FIFA World Cup Stadium, Hanover","Hanover","Spain",1,3,"France",NA,43000,1,1,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410200,97410056,"ESP","FRA","FRA",3
"701",2006,"30 Jun 2006 - 17:00","Quarter-finals","Olympiastadion","Berlin","Germany",4,2,"Argentina","Germany win on penalties (4 - 2)",72000,0,0,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410300,97410057,"GER","ARG","GER",4
"702",2006,"30 Jun 2006 - 21:00","Quarter-finals","FIFA World Cup Stadium, Hamburg","Hamburg","Italy",3,0,"Ukraine",NA,50000,1,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410300,97410058,"ITA","UKR","ITA",3
"703",2006,"01 Jul 2006 - 17:00","Quarter-finals","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","England",1,3,"Portugal","Portugal win on penalties (1 - 3)",52000,0,0,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410300,97410059,"ENG","POR","POR",3
"704",2006,"01 Jul 2006 - 21:00","Quarter-finals","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Brazil",0,1,"France",NA,48000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410300,97410060,"BRA","FRA","FRA",1
"705",2006,"04 Jul 2006 - 21:00","Semi-finals","FIFA World Cup Stadium, Dortmund","Dortmund","Germany",0,2,"Italy","Italy win after extra time",65000,0,0,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410400,97410061,"GER","ITA","ITA",2
